Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Civil Engineer,Adani Group,Construction,Hyderabad,Fresher,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-11-22
Civil Engineer,Adani Group,Construction,Indore,0-1 Years,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-11-25
Site Supervisor,Adani Group,Construction,Noida,Fresher,Contract,On-site,careers@adanigroup.com,Schedule labor and resources efficiently to meet deadlines. Ensure safety standards and material quality. Supervise construction activities at the site. Coordinate with engineers and contractors.,2025-11-25
Electrical Technician,Adani Group,Construction,Bengaluru,Fresher,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-11-27
Civil Engineer,Adani Group,Construction,Chennai,5+ Years,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required.,2025-12-07
Site Supervisor,Adani Group,Construction,Indore,1-3 Years,Full Time,On-site,careers@adanigroup.com,Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines. Coordinate with engineers and contractors. Supervise construction activities at the site.,2025-12-08
Civil Engineer,Adani Group,Construction,Bhopal,3-5 Years,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-12-10
Electrical Technician,Adani Group,Construction,Ahmedabad,1-3 Years,Full Time,On-site,careers@adanigroup.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-12-14
Electrical Technician,Adani Group,Construction,Hyderabad,Fresher,Full Time,On-site,careers@adanigroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-16
Site Supervisor,Adani Group,Construction,Pune,Fresher,Contract,On-site,careers@adanigroup.com,Monitor project progress and report to management. Supervise construction activities at the site. Schedule labor and resources efficiently to meet deadlines. Coordinate with engineers and contractors.,2025-12-16
Site Supervisor,Adani Group,Construction,Hyderabad,1-3 Years,Full Time,On-site,careers@adanigroup.com,Monitor project progress and report to management. Coordinate with engineers and contractors. Supervise construction activities at the site. Ensure safety standards and material quality.,2025-12-17
Site Supervisor,Adani Group,Construction,Patna,1-3 Years,Contract,On-site,careers@adanigroup.com,Supervise construction activities at the site. Monitor project progress and report to management. Ensure safety standards and material quality. Coordinate with engineers and contractors.,2025-12-17
